RecipeId,Name,RecipeCategory,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,CookTime,PrepTime,TotalTime,Review_Class,IngredientsCount,minimum_rating,maximum_rating,mean_of_rating
100335,Scrumptious Cheeseburger Ring,One Dish Meal,5.0,9.0,345.8,13.9,6.3,71.3,839.7,35.6,2.8,5.5,19.2,8.0,30,30,60,average,8,4.0,5.0,4.777777777777779
317485,Mom's Comfort Chicken,One Dish Meal,5.0,15.0,305.5,15.9,3.4,80.7,1073.1,11.7,1.1,2.1,29.0,4.0,15,15,30,average,9,4.0,5.0,4.666666666666667
136091,Hamburg Gravy,Deer,5.0,14.0,145.8,8.6,3.3,38.6,620.3,4.6,1.1,1.2,11.8,6.0,10,10,20,average,6,4.0,5.0,4.571428571428571
206216,Gluten-Free Fried Mozzarella Sticks,Lunch/Snacks,5.0,9.0,367.3,24.8,13.4,185.1,1291.5,10.4,1.6,5.6,25.2,5.0,10,10,20,average,12,4.0,5.0,4.777777777777779
221178,Cream Cheese Sugar Cookies,Drop Cookies,5.0,8.0,85.9,2.9,0.8,17.1,63.3,13.8,0.2,7.0,1.2,36.0,15,10,25,average,7,0.0,5.0,4.375
162207,Les Madeleines Thumbprint Cookies,Dessert,4.5,11.0,106.5,7.3,3.8,15.2,85.0,9.3,0.5,2.2,1.2,48.0,40,20,60,average,7,2.0,5.0,4.454545454545454
51639,Wonderful Homemade Kaiser Rolls!,Yeast Breads,5.0,16.0,197.0,2.2,0.6,0.0,307.2,37.2,1.7,1.0,6.3,16.0,20,85,105,average,8,1.0,5.0,4.5625
283497,Authentic Spanish Rice,Spanish,5.0,21.0,234.4,5.7,0.9,0.0,530.1,39.1,1.2,0.8,5.7,6.0,20,5,25,average,9,3.0,5.0,4.7
182597,Black and White Muffins,Quick Breads,5.0,8.0,238.6,11.3,3.3,27.6,352.4,29.9,0.9,11.6,4.7,12.0,20,10,30,average,10,0.0,5.0,3.8571428571428568
215963,Ww BBQ Pork Sandwiches With Homemade Cole Slaw,Lunch/Snacks,5.0,5.0,202.9,10.1,2.7,78.8,247.9,2.9,0.3,1.1,23.7,4.0,40,10,50,average,6,5.0,5.0,5.0
58846,Sloppy Joe's Mojito (alcoholic beverage),Beverages,5.0,8.0,131.8,0.1,0.0,0.0,1.7,19.7,1.9,13.7,0.5,1.0,0,5,5,average,5,0.0,5.0,4.375
314560,America's Test Kitchen Skillet Baked Ziti,One Dish Meal,5.0,36.0,658.7,26.1,13.5,73.9,651.4,81.9,6.7,2.8,26.4,4.0,10,25,35,average,10,0.0,5.0,3.925
270322,Peanut Butter Fudge,Candy,5.0,5.0,178.1,9.5,3.5,10.4,85.2,21.8,0.7,18.5,3.2,40.0,0,10,10,average,6,4.0,5.0,4.8
111610,Chicken Tikka,Chicken Breast,5.0,9.0,321.5,16.5,4.8,110.4,182.8,5.3,1.4,2.3,36.7,4.0,10,15,25,average,10,2.0,5.0,4.666666666666667
149931,Caramelized Onion Bread (Bread Machine),Yeast Breads,5.0,22.0,140.4,1.9,0.6,1.9,153.6,26.9,1.2,2.2,3.5,16.0,180,30,210,average,9,0.0,5.0,4.454545454545454
323969,Soothing Orange Mocha Coffee,Beverages,5.0,5.0,44.7,1.2,0.7,2.3,30.5,7.2,0.3,4.3,0.6,2.0,5,15,20,average,2,5.0,5.0,5.0
15963,Persimmon Pudding,Fruit,5.0,26.0,248.0,13.0,7.7,92.9,167.8,28.9,0.5,16.8,4.5,9.0,60,30,90,average,9,0.0,5.0,3.8846153846153846
105542,Creamy Crunchy Skillet Corn,Corn,5.0,18.0,172.2,8.5,5.0,20.3,71.1,24.8,2.6,2.1,3.3,6.0,20,5,25,average,4,3.0,5.0,4.722222222222221
304122,Grilled Ham and Gruyere Sandwiches,Lunch/Snacks,5.0,5.0,412.3,30.9,16.6,116.8,1225.1,3.4,0.7,1.8,30.7,4.0,10,5,15,average,4,5.0,5.0,5.0
34414,Pb Rice  Krispies Squares,Bar Cookie,5.0,13.0,384.9,13.6,5.3,10.2,401.2,62.9,1.5,29.6,6.5,12.0,0,15,15,average,3,2.0,5.0,4.6923076923076925
207043,Beef Vindaloo ( the Real Thing),Curries,5.0,10.0,406.8,18.0,5.4,145.2,484.1,11.9,2.4,5.3,51.6,4.0,90,15,105,average,15,4.0,5.0,4.9
199351,Bacon Wrapped Shrimp,Pork,4.5,5.0,310.6,26.4,8.7,92.2,789.0,4.4,0.4,1.2,12.9,8.0,20,10,30,average,2,2.0,5.0,4.2
48578,Ham-Broccoli Quiche,Savory Pies,4.5,22.0,333.1,20.2,7.6,130.4,803.0,19.5,2.1,0.9,18.2,6.0,40,10,50,average,13,0.0,5.0,3.761904761904762
27014,Raspberry Margarita,Beverages,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,5,average,2,4.0,5.0,4.8
282316,Bird's Favorite Oatmeal,Breakfast,4.5,7.0,223.8,7.5,4.2,19.8,313.9,33.1,2.0,19.8,6.8,1.0,7,1,8,average,5,3.0,5.0,4.285714285714286
134627,Minnesota Cream of Chicken &amp; Wild Rice Soup,Chicken,5.0,45.0,341.2,17.7,9.3,77.0,802.0,22.7,2.4,3.4,22.4,4.0,60,30,90,average,9,0.0,5.0,4.5227272727272725
457101,Argentinian Grilled Flank Steak With Chimichurri Sauce,Steak,5.0,5.0,672.1,49.4,12.0,154.2,716.1,5.8,1.2,1.8,49.2,4.0,10,10,20,average,7,5.0,5.0,5.0
137983,Spiced Salmon,Canadian,5.0,7.0,221.8,8.3,1.3,87.5,261.1,1.1,0.3,0.2,33.9,2.0,15,10,25,average,6,4.0,5.0,4.857142857142857
8364,Italian Meatballs in Tomato Sauce,Meat,5.0,17.0,418.7,27.7,6.2,107.8,1239.3,30.0,5.5,14.2,13.5,4.0,0,0,0,average,20,0.0,5.0,4.25
105055,Yummy Ranch Dressing,< 15 Mins,5.0,6.0,111.0,8.7,2.3,12.4,169.4,7.3,0.1,2.2,1.4,12.0,2,5,7,average,8,0.0,5.0,3.8333333333333335
219738,More Banana Coconut Muffins,Quick Breads,5.0,7.0,277.9,11.5,7.6,51.5,430.0,41.1,1.5,22.5,3.8,12.0,30,15,45,average,11,4.0,5.0,4.857142857142857
350632,Tofu Salad - Easy Vegan - Make Ahead (Moosewood),Soy/Tofu,5.0,6.0,162.7,12.4,2.0,0.0,616.9,6.9,1.6,4.1,8.5,6.0,0,150,150,average,21,5.0,5.0,5.0
