RecipeId,Review_Class
38,average
39,average
40,average
41,good
42,average
43,average
44,average
45,average
46,average
47,average
48,average
49,average
50,average
52,average
53,average
54,average
55,average
56,average
58,average
59,average
60,good
62,average
63,average
64,average
66,average
67,average
70,average
71,average
72,average
73,average
76,average
78,average
80,average
81,good
82,average
83,good
84,average
85,average
86,average
87,average
88,average
89,average
90,average
91,average
92,average
93,average
94,average
99,good
100,average
102,average
103,average
104,average
108,average
109,average
110,average
112,average
113,average
114,average
115,average
116,average
117,average
118,good
119,average
120,average
122,good
123,average
124,good
126,average
127,average
128,average
129,average
131,average
133,good
135,average
136,average
139,average
141,average
142,average
143,average
144,average
146,average
147,good
148,average
149,average
150,average
152,average
153,average
154,average
155,average
156,average
159,average
161,average
162,average
164,average
165,good
167,average
168,average
170,average
171,average
172,average
173,average
174,good
175,average
176,very good
177,average
178,good
179,average
180,average
181,average
183,average
185,average
186,average
187,average
189,good
190,average
191,average
192,average
193,average
194,average
195,good
196,average
197,average
198,average
199,good
200,average
201,average
203,average
204,average
205,average
206,average
207,good
208,good
209,good
210,average
211,average
212,good
213,average
215,average
216,average
217,average
219,average
220,average
221,average
223,average
224,average
225,average
226,average
227,average
228,average
229,average
230,average
231,good
232,average
234,good
236,average
238,average
240,average
242,average
243,average
245,average
246,average
247,average
249,average
250,average
251,average
252,average
253,average
256,average
261,average
262,average
264,average
266,average
267,average
270,average
271,average
272,good
273,average
274,average
275,average
276,average
277,average
278,average
279,average
280,average
281,good
282,average
283,good
284,average
285,average
287,average
288,average
289,good
290,average
291,average
293,average
294,average
295,good
296,average
297,average
298,good
300,good
301,average
302,average
303,average
304,average
310,average
311,average
314,average
316,average
318,average
319,average
320,average
321,average
322,average
324,average
325,average
327,average
328,average
329,average
330,average
332,average
334,average
337,average
339,average
340,average
342,average
343,average
344,average
345,average
346,average
349,average
350,average
351,average
352,average
355,average
356,average
358,very poor
360,average
361,average
362,average
363,average
364,very good
365,good
366,average
368,average
370,average
371,average
373,good
374,average
375,average
376,average
377,average
378,average
379,average
380,average
381,average
382,average
383,average
384,average
385,average
387,average
389,good
393,good
396,average
397,average
399,average
400,average
401,good
402,average
404,average
406,average
407,average
408,good
409,average
410,average
411,average
412,average
413,average
414,average
415,average
418,average
420,average
421,good
422,average
423,average
424,very good
425,average
428,good
429,average
430,average
431,average
432,average
434,average
435,average
436,average
437,good
441,average
444,average
445,average
449,average
450,average
451,average
452,average
454,average
456,average
458,average
459,average
460,average
461,average
463,average
464,average
465,good
466,average
467,average
468,average
469,average
471,average
472,average
473,average
475,average
476,average
478,average
479,average
480,average
481,average
483,average
484,average
485,average
486,average
487,average
489,average
490,average
491,good
492,average
493,average
494,average
495,average
496,average
498,average
501,average
502,average
503,average
504,average
505,average
506,average
507,good
508,average
512,average
514,average
515,average
517,average
518,average
519,average
520,average
524,average
525,average
526,average
528,average
529,average
531,average
533,average
534,average
535,average
536,average
539,average
540,average
541,average
542,average
543,average
544,average
545,average
546,average
547,average
548,average
550,average
551,good
552,average
555,average
556,average
557,average
558,average
559,average
560,average
561,average
563,average
564,average
565,average
566,average
567,average
568,average
570,good
571,average
572,average
573,average
575,average
576,average
577,average
579,average
580,average
581,average
582,average
583,average
584,poor
585,average
587,average
588,average
589,average
590,average
591,average
592,average
593,average
595,average
596,good
601,average
602,good
603,average
604,average
605,average
606,average
607,average
608,average
609,average
611,average
612,good
614,average
615,average
616,average
617,average
619,average
620,average
623,average
626,average
628,good
630,good
631,average
632,average
634,average
635,average
636,average
637,average
638,average
639,good
640,average
642,average
643,average
644,average
645,average
646,good
647,average
648,average
649,average
650,good
651,average
652,average
653,average
656,average
657,average
658,very good
659,average
660,good
661,average
664,average
665,average
666,good
667,poor
668,average
669,poor
670,average
671,average
672,good
673,average
674,average
676,average
677,average
678,average
680,average
682,average
683,average
684,average
685,average
686,average
688,average
689,average
690,average
691,average
692,average
693,average
696,average
705,average
707,average
712,average
719,average
721,average
730,average
736,average
742,average
744,average
747,average
749,average
753,average
754,average
759,average
760,average
768,good
773,average
776,average
777,average
778,average
779,average
780,average
782,average
794,average
800,average
801,good
809,average
810,average
820,average
822,average
824,average
825,average
828,average
833,good
834,average
845,average
846,average
851,average
854,average
860,average
868,average
876,good
884,good
885,average
886,average
893,good
897,average
902,average
903,average
912,average
913,good
916,average
920,average
930,average
931,average
932,average
933,average
938,average
947,average
952,average
953,average
956,good
958,average
962,average
965,average
970,average
971,good
974,average
975,average
989,average
992,average
998,average
1005,average
1008,average
1012,average
1018,average
1024,average
1031,average
1032,average
1033,average
1034,average
1035,average
1042,average
1044,average
1045,average
1048,average
1068,average
1069,average
1073,average
1074,average
1075,poor
1078,average
1079,average
1085,average
1086,average
1100,average
1103,average
1106,average
1117,average
1119,average
1127,average
1128,average
1129,average
1133,average
1136,average
1141,average
1144,good
1145,average
1148,very good
1149,average
1150,average
1151,average
1155,average
1157,average
1162,average
1165,average
1166,average
1168,average
1170,average
1171,average
1175,average
1181,average
1183,average
1184,average
1196,average
1201,average
1204,average
1207,average
1209,average
1217,average
1229,average
1232,average
1236,average
1242,average
1243,good
1246,average
1249,average
1253,average
1259,good
1266,average
1267,average
1275,good
1293,average
1296,average
1298,average
1303,average
1306,average
1315,average
1317,average
1320,average
1322,average
1330,average
1355,average
1356,average
1379,average
1387,average
1396,average
1399,good
1401,average
1406,average
1408,average
1409,average
1415,average
1417,average
1420,average
1423,average
1428,average
1429,average
1430,average
1436,average
1437,good
1438,average
1442,average
1443,average
1446,average
1451,average
1460,average
1465,average
1481,average
1485,average
1505,average
1506,average
1507,average
1521,average
1522,average
1524,average
1525,average
1526,very good
1527,average
1528,very good
1533,average
1536,average
1540,average
1541,average
1543,average
1550,average
1551,average
1552,average
1557,average
1559,average
1560,average
1562,average
1564,average
1565,average
1566,average
1574,average
1576,good
1577,very good
1578,average
1580,average
1581,average
1587,average
1590,average
1591,average
1593,very good
1595,average
1599,average
1600,average
1602,average
1605,average
1612,good
1627,good
1629,average
1630,average
1631,average
1633,average
1649,good
1660,average
1662,average
1684,average
1693,average
1696,good
1699,average
1705,average
1708,average
1712,average
1716,average
1719,average
1721,average
1725,average
1746,average
1750,average
1753,average
1760,average
1770,good
1778,average
1780,average
1797,average
1807,average
1809,average
1823,average
1825,average
1832,average
1835,average
1841,good
1857,average
1861,average
1870,good
1873,average
1878,average
1881,average
1882,average
1883,average
1887,average
1888,average
1902,average
1904,average
1913,average
1923,average
1940,average
1944,average
1945,good
1947,average
1955,poor
1967,average
1970,average
1975,average
1977,poor
1978,average
1981,good
1982,average
1999,average
2002,good
2013,average
2015,average
2019,average
2020,average
2029,average
2032,average
2047,average
2056,average
2057,average
2066,average
2068,average
2072,average
2075,average
2078,good
2080,average
2082,good
2086,average
2087,average
2092,average
2100,average
2105,average
2110,average
2111,average
2112,average
2113,average
2121,good
2122,average
2123,average
2126,average
2129,average
2130,average
2131,average
2137,average
2141,average
2142,good
2144,average
2155,average
2164,average
2169,average
2175,good
2185,average
2188,average
2189,average
2196,average
2202,average
2204,average
2216,average
2218,average
2221,good
2238,average
2254,average
2255,average
2264,average
2267,average
2273,average
2278,average
